ProductID,ProductName,Category,UnitPrice,DiscountPercent,Supplier
2000,Electronics-Be,Electronics,969.31,25%,Local Vendor
2001,Electronics-Be,Clothing,412.35,20%,Warehouse A
2002,Office-Family,Clothing,866,10%,Local Vendor
2003,Electronics-Training,Clothing,385.18,10%,Online Supplier
2004,Office-Where,Home,927.25,75%,Warehouse A
2005,Office-Huge,Home,428.78,15%,Local Vendor
2006,Office-Class,Clothing,198,20%,Local Vendor
2007,Clothing-Over,Electronics,583.39,75%,Warehouse B
2008,Electronics-Skin,Home,66.59,15%,Online Supplier
2009,Office-Raise,Clothing,66.31,20%,Local Vendor
2010,Electronics-Themselves,Clothing,77.84,50%,Warehouse B
2011,Electronics-Religious,Clothing,409.74,10%,Warehouse A
2012,Clothing-Artist,Electronics,623.19,20%,Warehouse B
2013,Office-Cultural,Home,935.36,15%,Online Supplier
2014,Clothing-Eat,Home,246.3,20%,Warehouse A
2015,Office-Itself,Clothing,674.97,20%,Local Vendor
2016,Home-He,Office,323.02,10%,Warehouse B
2017,Electronics-Feeling,Electronics,463.7,15%,Warehouse B
2018,Electronics-Nature,Electronics,542.26,15%,Warehouse A
2019,Home-History,Clothing,933.93,75%,Online Supplier
2020,Electronics-Share,Clothing,375.83,20%,Warehouse B
2021,Clothing-Skill,Office,835.41,15%,Warehouse B
2022,Home-Economy,Electronics,671.18,15%,Online Supplier
2023,Home-Yeah,Electronics,939.54,75%,Warehouse B
2024,Clothing-Paper,Home,124.27,15%,Warehouse A
2025,Electronics-Assume,Clothing,279.62,75%,Online Supplier
2026,Clothing-Use,Home,211.56,50%,Warehouse A
2027,Home-Purpose,Office,258.61,10%,Warehouse B
2028,Electronics-Take,Electronics,637.94,75%,Online Supplier
2029,Home-Yourself,Electronics,13.51,20%,Warehouse B
2030,Clothing-First,Home,169.97,20%,Warehouse A
2031,Office-Develop,Office,565.3,25%,Online Supplier
2032,Electronics-There,Electronics,945.6,75%,Warehouse B
2033,Clothing-Argue,Electronics,836.25,15%,Local Vendor
2034,Clothing-Feel,Office,136.17,50%,Warehouse B
2035,Home-According,Home,899.99,75%,Local Vendor
2036,Electronics-Candidate,Home,217.98,20%,Warehouse B
2037,Clothing-Meeting,Electronics,360.14,20%,Local Vendor
2038,Office-Soon,Clothing,926.51,20%,Online Supplier
2039,Clothing-Need,Clothing,976.44,75%,Online Supplier
2040,Clothing-Determine,Office,34.54,20%,Online Supplier
2041,Home-Assume,Office,804.21,20%,Warehouse B
2042,Clothing-Lawyer,Home,167.61,20%,Local Vendor
2043,Electronics-Practice,Office,873.45,10%,Warehouse A
2044,Office-Society,Clothing,207.58,20%,Warehouse A
2045,Office-Next,Home,312.14,10%,Local Vendor
2046,Clothing-Worry,Clothing,33.43,15%,Warehouse B
2047,Clothing-Hair,Office,334.98,25%,Warehouse A
2048,Electronics-Candidate,Home,357.63,75%,Online Supplier
2049,Office-Easy,Home,939.84,20%,Warehouse B
2050,Electronics-Young,Home,186.78,25%,Online Supplier
2051,Home-Century,Electronics,117.32,20%,Online Supplier
2052,Office-Year,Home,731.26,25%,Warehouse B
2053,Home-Ground,Office,610.15,25%,Warehouse B
2054,Electronics-Above,Office,900.51,20%,Local Vendor
2055,Clothing-Politics,Home,53.94,15%,Warehouse A
2056,Office-About,Electronics,524.72,10%,Online Supplier
2057,Clothing-Identify,Home,436.98,20%,Warehouse A
2058,Home-Wear,Home,666.75,50%,Online Supplier
2059,Electronics-Clear,Home,512.05,15%,Local Vendor
2060,Office-Term,Home,408.38,25%,Online Supplier
2061,Home-Quite,Clothing,199.92,15%,Local Vendor
2062,Office-Receive,Clothing,619.36,20%,Warehouse B
2063,Home-Good,Office,552.46,15%,Warehouse B
2064,Electronics-Stop,Home,294.04,20%,Warehouse A
2065,Office-Animal,Home,470.34,15%,Warehouse B
2066,Office-Occur,Clothing,516.06,20%,Warehouse A
2067,Clothing-Remain,Electronics,290.95,20%,Warehouse B
2068,Home-Read,Electronics,820.24,20%,Local Vendor
2069,Clothing-Garden,Home,232.39,10%,Local Vendor
2070,Clothing-About,Clothing,34.18,75%,Warehouse B
2071,Clothing-Success,Office,615.16,15%,Warehouse B
2072,Electronics-Become,Office,420.3,75%,Warehouse B
2073,Clothing-Executive,Office,499.43,20%,Online Supplier
2074,Clothing-Strong,Clothing,659.5,75%,Online Supplier
