category,region,Net_Sales,Orders
Home,West,109473.92,96
Home,North,108436.18,105
Electronics,North,102385.02,78
Office,North,90916.69,88
Clothing,North,85830.15,87
Electronics,West,82612.92,66
Office,West,77652.57,73
Clothing,West,75775.74,93
Clothing,South,69697.54,74
Home,East,68351.29,79
Home,EAST,67659.69,77
Electronics,EAST,67422.31,47
Home,east,65635.97,58
Electronics,East,65300.47,49
Office,south-west,65003.95,59
Home,south-west,64920.65,73
Electronics,east,59865.15,52
Clothing,east,58965.26,63
Home,South,56461.36,75
Office,South,55943.24,56
Office,Central,55409.81,52
Clothing,EAST,54030.97,55
Clothing,East,52990.77,56
Clothing,Central,50431.97,59
Office,EAST,49059.36,55
Electronics,South,48003.49,35
Electronics,Central,46391.76,46
Home,Central,45117.29,52
Electronics,south-west,41478.74,34
Office,East,37981.96,46
Clothing,south-west,36216.18,49
Office,east,32437.17,34
Electronics,Unknown,288.11,1
